001;0001;P01;100;10
001;0001;P03;10;20
001;0002;P01;50;10
001;0003;P01;50;10
001;0004;P01;50;10
001;0004;P01;10;7
001;0005;P01;50;10
001;0007;P01;50;10
001;0011;P01;70;10
001;0012;P01;12;10
001;0022;P01;17;10
001;0023;P01;50;10
001;0024;P01;23;10
001;0026;P01;100;10
001;0027;P08;25;30
001;0031;P01;50;10
001;0032;P08;20;30
001;0034;P01;50;10
001;0035;P01;50;10
001;0040;P01;50;10
001;0042;P01;35;10
001;0043;P01;50;10
001;0044;P01;51;10
001;0045;P01;50;10
001;0050;P01;50;10
001;0052;P01;52;10
001;0053;P01;50;10
001;0057;P01;29;10
001;0062;P01;50;10
001;0064;P01;50;10
002;0004;P04;150;10
002;0004;P07;150;30
002;0005;P04;10;10
002;0006;P04;17;10
002;0007;P14;150;17
002;0008;P04;150;10
002;0010;P04;150;10
002;0011;P04;150;10
002;0014;P04;150;10
002;0034;P04;150;10
003;0001;P14;10;17
003;0009;P04;130;10
