100001;0001;0001;100;BANANES;100,00;02/01/2016
100002;0001;0001;250;BANANES;150,00;18/03/2016
100002;0001;0003;50;ORANGES;145,00;18/03/2016
100002;0001;0004;120;POMMES;122,00;18/03/2016
100002;0001;0005;20;KIWIS;225,00;18/03/2016
100002;0001;0006;30;PRUNES;105,00;18/03/2016
100002;0001;0007;15;POIRES;110,00;18/03/2016
100002;0001;0008;25;MANGUES;250,00;18/03/2016
100002;0001;0009;101;RAISIN;150,00;18/03/2016
100002;0001;0010;130;COURGES;25,00;18/03/2016
100002;0001;0012;13;PASTEQUES;110,00;18/03/2016
100002;0001;0013;15;CITRONS;147,00;18/03/2016
100004;0006;0013;25;CITRONS;147,00;22/03/2016
100004;0006;0014;100;FRAISES;203,00;22/03/2016
100012;0008;0012;90;PASTEQUES;110,00;01/04/2016
100012;0008;0014;90;FRAISES;203,00;01/04/2016
