0003;10/01/2012;0001;120;1200,00
0003;22/02/2010;0006;50;800,50
0003;19/11/2011;0004;125;215,30
0003;19/11/2010;0003;217;500,00
0003;17/05/2015;0001;12;1213,14
0003;18/11/2011;0005;100;1000,00
0003;13/05/2012;0001;100;1523,00
0003;01/01/2010;0001;17;1952,00
0003;28/06/2016;0005;101;1213,15
0003;13/04/2016;0002;170;514,10
0004;01/08/2015;0001;10;1222,30
0004;07/12/2010;0003;405;100,00
0004;08/12/2011;0002;127;210,00
0004;19/04/2015;0001;1;500,00
0004;14/12/2014;0001;14;1227,52
0004;02/05/2011;0001;100;323,00
0004;02/02/2012;0001;100;589,56
0004;01/05/2016;0002;150;710,00
0004;22/02/2016;0001;108;517,54
0004;20/09/2011;0001;305;1050,30
0004;18/11/2010;0001;258;1200,60
0004;31/03/2013;0004;259;100,00
0006;16/05/2016;0001;23;500,00
0006;15/05/2016;0001;23;238,15
0006;02/02/2014;0001;14;1582,00
0006;08/03/2014;0001;14;526,00
0006;17/02/2013;0005;18;1458,00
0006;31/03/2014;0004;17;1523,00
0006;12/09/2013;0007;15;1578,00
0006;07/07/2011;0005;14;542,00
0006;15/09/2016;0007;12;677,00
0006;18/06/2016;0004;1;589,00
0006;17/02/2011;0005;1;522,00
0008;12/10/2016;0001;1;1581,00
0008;17/02/2016;0005;1;522,00
0008;11/10/2013;0001;1;429,00
0008;05/09/2015;0005;10;450,00
0008;31/10/2013;0002;45;458,00
0008;22/11/2016;0001;1;1417,00
0008;01/01/2015;0002;12;2300,00
0008;31/12/2016;0002;45;416,00
0008;22/10/2012;0001;1;1241,00
